fire_year,current_size,fire_location_latitude,fire_location_longitude,assessment_hectares,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_fighting_start_size,fire_origin_encoded,fire_type_encoded,general_cause_desc_encoded,weather_conditions_over_fire_encoded,temperature_encoded,relative_humidity_encoded,wind_speed_encoded,current_size_bin_encoded
2019,0.7,54.890913,-110.838544,0.8,5.0,18.0,30.0,5.0,0.8,0,2,2,2,0.6666666666666666,0.3,0.05555555555555556,0
2019,33.67,54.579395,-111.600208,0.5,1.0,10.0,30.0,12.0,0.5,3,2,0,2,0.5333333333333333,0.3,0.13333333333333333,8
2019,1.6,55.552145,-111.195522,1.0,4.0,23.0,20.0,5.0,1.0,3,2,8,2,0.75,0.2,0.05555555555555556,0
2019,0.8,54.454158,-111.184048,1.5,2.0,16.0,24.0,0.0,1.5,4,2,6,2,0.6333333333333333,0.24,0.0,0
2019,28.5,55.516383,-111.2018,2.0,5.0,30.0,21.0,9.0,5.0,3,2,8,2,0.8666666666666667,0.21,0.1,7
2019,0.73,55.195067,-111.069467,0.5,3.0,20.0,15.0,15.0,0.5,0,2,2,3,0.7,0.15,0.16666666666666669,0
2019,2.9,55.195998,-110.138232,2.0,1.0,20.0,20.0,10.0,2.0,0,2,2,3,0.7,0.2,0.11111111111111112,0
2019,0.1,56.76105,-111.6534,0.1,0.0,25.0,25.0,2.0,0.1,4,1,10,2,0.7833333333333333,0.25,0.022222222222222223,0
2019,0.01,56.787,-111.744867,0.01,0.0,19.2,19.0,7.0,0.01,4,2,9,2,0.6866666666666666,0.19,0.07777777777777778,0
2019,0.2,56.664483,-111.457833,0.2,1.0,18.7,53.0,1.0,0.2,4,2,5,3,0.6783333333333332,0.53,0.011111111111111112,0
2019,0.01,57.709033,-117.67015,0.01,0.0,12.0,38.0,6.0,0.01,3,1,0,3,0.5666666666666667,0.38,0.06666666666666667,0
2019,174.1,57.85195,-118.341233,5.0,15.0,24.0,28.0,15.0,5.0,4,0,6,0,0.7666666666666666,0.28,0.16666666666666669,10
2019,0.6,52.691717,-115.345217,0.6,0.5,12.0,37.0,0.0,0.6,1,2,10,3,0.5666666666666667,0.37,0.0,0
2019,1.26,52.92165,-115.155683,0.5,2.0,21.0,29.0,5.0,0.75,4,2,6,2,0.7166666666666666,0.29,0.05555555555555556,0
2019,0.1,52.371982,-115.479067,0.01,0.0,22.0,40.0,4.0,0.1,4,1,6,0,0.7333333333333333,0.4,0.044444444444444446,0
2019,1.7,55.600488,-116.61258,1.7,0.0,20.0,31.0,10.0,1.7,3,2,10,3,0.7,0.31,0.11111111111111112,0
2019,0.01,55.911333,-115.60495,0.01,0.0,18.0,23.0,10.0,0.01,1,1,10,3,0.6666666666666666,0.23,0.11111111111111112,0
2019,234.2,55.26675,-116.736035,200.0,2.0,8.0,24.0,20.0,300.0,3,2,10,2,0.5,0.24,0.22222222222222224,10
2019,2.5,55.405433,-115.983295,0.1,1.0,6.0,56.0,3.0,2.54,3,2,10,3,0.4666666666666667,0.56,0.03333333333333333,0
2019,0.3,56.383033,-115.88425,0.3,1.0,8.0,33.0,3.0,0.2,4,2,1,3,0.5,0.33,0.03333333333333333,0
2019,0.1,55.89355,-113.82345,0.1,1.0,17.0,30.0,10.0,0.1,1,2,5,3,0.6499999999999999,0.3,0.11111111111111112,0
2019,0.01,56.525883,-115.349517,0.01,0.0,16.6,25.0,10.0,0.01,1,2,10,2,0.6433333333333333,0.25,0.11111111111111112,0
2019,1.57,56.015968,-115.360693,1.0,2.0,18.0,25.0,20.0,1.0,4,2,6,2,0.6666666666666666,0.25,0.22222222222222224,0
2019,4.9,56.387753,-115.897555,0.3,1.0,16.0,20.0,8.0,0.5,4,1,9,2,0.6333333333333333,0.2,0.08888888888888889,1
2019,0.01,57.135667,-115.074217,0.01,0.0,2.0,20.0,2.0,0.01,4,2,9,2,0.39999999999999997,0.2,0.022222222222222223,0
2019,0.1,55.461583,-116.972883,0.1,1.0,27.0,20.0,2.0,0.1,4,2,10,2,0.8166666666666667,0.2,0.022222222222222223,0
2019,0.1,55.461517,-116.98135,0.1,1.0,27.0,20.0,2.0,0.1,4,2,10,2,0.8166666666666667,0.2,0.022222222222222223,0
2019,0.1,55.4616,-116.9967,0.1,1.0,27.0,20.0,2.0,0.1,4,2,10,2,0.8166666666666667,0.2,0.022222222222222223,0
2019,0.95,56.000683,-113.355617,0.3,1.0,17.0,28.0,15.0,0.95,4,2,6,3,0.6499999999999999,0.28,0.16666666666666669,0
2019,0.1,54.0356,-115.83225,0.1,0.1,15.0,37.0,11.0,0.1,3,1,10,2,0.6166666666666667,0.37,0.12222222222222223,0
2019,0.1,54.3628,-114.235138,0.01,0.1,16.0,25.0,25.0,0.1,4,1,0,2,0.6333333333333333,0.25,0.2777777777777778,0
2019,1.93,54.252682,-115.18834,1.0,1.0,22.0,29.0,6.0,1.0,3,2,10,2,0.7333333333333333,0.29,0.06666666666666667,0
2019,0.7,54.211733,-115.459583,1.0,1.0,23.0,16.0,5.0,0.5,4,2,9,2,0.75,0.16,0.05555555555555556,0
2019,2.1,54.603275,-114.549125,1.0,1.0,2.0,35.0,15.0,1.0,4,1,9,3,0.39999999999999997,0.35000000000000003,0.16666666666666669,0
2019,0.1,54.2632,-116.798883,0.1,1.0,13.0,41.0,22.0,0.1,4,2,6,3,0.5833333333333333,0.41000000000000003,0.24444444444444446,0
2019,0.18,54.103583,-115.89085,0.1,1.0,18.0,27.0,13.0,0.1,4,1,9,2,0.6666666666666666,0.27,0.14444444444444446,0
2019,3.6,54.489178,-115.940507,2.5,2.0,26.0,20.0,20.0,2.0,4,2,6,2,0.8,0.2,0.22222222222222224,0
2018,10.4,50.019083,-114.026831,2.0,10.0,25.0,33.0,5.0,2.0,4,2,9,0,0.7833333333333333,0.33,0.05555555555555556,2
2018,30.5,50.816133,-114.643883,2.5,5.0,18.0,45.0,10.0,2.5,4,2,9,2,0.6666666666666666,0.45,0.11111111111111112,7
2018,0.01,51.43996,-115.08909,0.01,0.1,19.0,40.0,2.0,0.01,4,1,9,0,0.6833333333333333,0.4,0.022222222222222223,0
2018,0.01,51.1423,-114.721217,0.01,0.0,29.0,14.0,8.0,0.01,4,2,10,3,0.85,0.14,0.08888888888888889,0
2018,0.01,51.4738,-115.110733,0.01,0.0,25.0,35.0,5.0,0.01,4,1,9,2,0.7833333333333333,0.35000000000000003,0.05555555555555556,0
2018,0.17,53.399133,-117.3755,0.02,2.0,27.0,17.0,8.0,0.17,4,2,5,2,0.8166666666666667,0.17,0.08888888888888889,0
2018,0.84,53.632517,-115.53515,0.5,0.5,21.0,45.0,5.0,0.5,4,2,8,2,0.7166666666666666,0.45,0.05555555555555556,0
2018,0.1,53.640583,-115.564433,0.3,0.3,24.0,35.0,10.0,0.1,4,2,8,2,0.7666666666666666,0.35000000000000003,0.11111111111111112,0
2018,0.13,55.486667,-119.53115,0.13,0.1,18.0,12.0,11.0,0.13,4,1,10,2,0.6666666666666666,0.12,0.12222222222222223,0
2018,1.9,55.0441,-117.384417,0.3,0.2,25.0,30.0,0.0,0.4,1,2,10,2,0.7833333333333333,0.3,0.0,0
2018,0.05,55.077967,-117.852417,0.05,0.1,28.0,30.0,10.0,0.05,3,2,10,2,0.8333333333333333,0.3,0.11111111111111112,0
2018,0.5,54.724955,-117.141712,0.62,1.0,20.0,47.0,30.0,0.62,3,2,10,2,0.7,0.47000000000000003,0.33333333333333337,0
2018,0.01,54.729617,-119.033133,0.01,0.0,21.0,65.0,0.0,0.01,4,2,6,3,0.7166666666666666,0.65,0.0,0
2018,0.5,58.714115,-118.780761,2.0,0.0,19.0,21.0,8.0,0.5,1,2,10,2,0.6833333333333333,0.21,0.08888888888888889,0
2018,0.17,58.53265,-115.156583,0.2,0.0,24.6,27.0,8.0,0.2,1,2,10,2,0.7766666666666666,0.27,0.08888888888888889,0
2018,0.08,58.598383,-118.636467,0.07,0.0,16.0,33.0,66.0,0.08,4,2,6,4,0.6333333333333333,0.33,0.7333333333333334,0
2018,4.4,58.134443,-117.283888,1.5,4.0,18.8,26.0,3.0,2.0,4,2,6,2,0.6799999999999999,0.26,0.03333333333333333,1
2018,0.01,58.762733,-117.3292,0.01,1.0,25.0,25.0,2.0,0.01,4,2,6,3,0.7833333333333333,0.25,0.022222222222222223,0
2018,409.9,58.738517,-117.254667,0.3,1.0,20.0,20.0,25.0,1.0,4,2,6,0,0.7,0.2,0.2777777777777778,10
